row_id,dialect,region,sentiment
2302,"không biết luôn á, mi è răng mà đi được đây.",central,
10602,cho tau giỏi với chơ,central,
12293,anh ni nghe hơi quen quen hè?,central,
1476,"Tau mà trúng tau công khai cả gia phả luôn, chơ đừng nói giấu tên với giấu mặt.",central,
5795,"""Bữa mô lên tiếp bạn hầy?""",central,
8089,rứa đó. Giờ đoán sợ trúng không được mánh chi lại tức hơn.,central,
15056,trình độ hóa trang kém quá quê choa hầy,central,
7373,"chỗ ni này, chill ri mà coan nhi chê ồn.",central,
21754,Nam Mô A Di Đà Phật Nam Mô Bổn Sư Thích Ca Mâu Ni Phật Nam Mô Phật Tổ Phật Thầy Đức Huỳnh Giáo Chủ Phật Giáo Xứ Hòa Hảo,central,
16055,Oà là tề,central,
1273,là bệnh chi rứa em?,central,
13000,Chị em ta nhắm mần kèo. Chơ nghe bứt rứt khó chịu rồi hẹ.,central,
12786,rứa khi túi con mua từ sài gòn đó.,central,
9496,Xin vía cấy mồ.,central,
904,Bay được bộ copy chu tuổi thơ của choa rứa đó.,central,
492,Đợi chị chắc biển hết nác rồi,central,
711,"""Số đen khi mô cụng, đoán trúng có 2 số à?""",central,
1533,ca nhạc ri chắc chồng mi.,central,
8634,Chùa mô rứa mọi người?,central,
6950,"Chào em, em ở mô rứa, đã sẵn sàng chưa? Đẳng cấp là mãi mãi.",central,
11468,"""dân thành phố không phải muốn nói chi thì nói mô.""",central,
25424,Nam Mô A Di Đà Phật Nam Mô Bổn Sư Thích Ca Mâu Ni Phật Nam Mô Đại Từ Đại Bi Cứu Khổ Cứu Nạn Quan Thế Âm Bồ Tát,central,
5548,"""đạ học mô, chừ mới học đây.""",central,
11585,Chơ gặp mi thì lưa mô nựa,central,
9294,rứa đi nhật vài năm về mần cái!,central,
10084,lạc mô rứa để tao chở về cho.,central,
12176,"nhân viên Thuận ngay chỗ ni chi nữa, may không chừ cũng 10 niên rồi đó",central,
11660,đi mô đường nớ mà biết?,central,
11865,Mưa gió ni thì chỉ có mồi ni là thích hợp.,central,
23835,Mi nói sao chứ giọng cx bth chứ có chi mô:)),central,
9039,Rứa bơ chừ ở Đông Hà hay mô?,central,
7486,"""Chợ ni ở xã mô rứa hè?""",central,
